 v-sweep         v(v1)           v(v2)           v(vout)        
 3.20000000e-01  3.20000000e-01  3.00000000e-01  1.76874778e+00 
 3.30000000e-01  3.30000000e-01  3.00000000e-01  1.77746138e+00 
 3.40000000e-01  3.40000000e-01  3.00000000e-01  1.78215034e+00 
 3.50000000e-01  3.50000000e-01  3.00000000e-01  1.78569358e+00 
 3.60000000e-01  3.60000000e-01  3.00000000e-01  1.78855703e+00 
 3.70000000e-01  3.70000000e-01  3.00000000e-01  1.79079143e+00 
 3.80000000e-01  3.80000000e-01  3.00000000e-01  1.79255347e+00 
 3.90000000e-01  3.90000000e-01  3.00000000e-01  1.79395959e+00 
 4.00000000e-01  4.00000000e-01  3.00000000e-01  1.79508780e+00 
 4.10000000e-01  4.10000000e-01  3.00000000e-01  1.79599469e+00 
 4.20000000e-01  4.20000000e-01  3.00000000e-01  1.79672317e+00 
 4.30000000e-01  4.30000000e-01  3.00000000e-01  1.79730668e+00 
 4.40000000e-01  4.40000000e-01  3.00000000e-01  1.79777196e+00 
 4.50000000e-01  4.50000000e-01  3.00000000e-01  1.79814084e+00 
 4.60000000e-01  4.60000000e-01  3.00000000e-01  1.79843138e+00 
 4.70000000e-01  4.70000000e-01  3.00000000e-01  1.79865869e+00 
 4.80000000e-01  4.80000000e-01  3.00000000e-01  1.79883536e+00 
 4.90000000e-01  4.90000000e-01  3.00000000e-01  1.79897184e+00 
 5.00000000e-01  5.00000000e-01  3.00000000e-01  1.79907670e+00 
 5.10000000e-01  5.10000000e-01  3.00000000e-01  1.79915692e+00 
 5.20000000e-01  5.20000000e-01  3.00000000e-01  1.79921801e+00 
 5.30000000e-01  5.30000000e-01  3.00000000e-01  1.79926439e+00 
 5.40000000e-01  5.40000000e-01  3.00000000e-01  1.79929948e+00 
 5.50000000e-01  5.50000000e-01  3.00000000e-01  1.79932595e+00 
 5.60000000e-01  5.60000000e-01  3.00000000e-01  1.79934585e+00 
 5.70000000e-01  5.70000000e-01  3.00000000e-01  1.79936077e+00 
 5.80000000e-01  5.80000000e-01  3.00000000e-01  1.79937192e+00 
 5.90000000e-01  5.90000000e-01  3.00000000e-01  1.79938024e+00 
 6.00000000e-01  6.00000000e-01  3.00000000e-01  1.79938642e+00 
 6.10000000e-01  6.10000000e-01  3.00000000e-01  1.79939101e+00 
 6.20000000e-01  6.20000000e-01  3.00000000e-01  1.79939440e+00 
 6.30000000e-01  6.30000000e-01  3.00000000e-01  1.79939691e+00 
 6.40000000e-01  6.40000000e-01  3.00000000e-01  1.79939875e+00 
 6.50000000e-01  6.50000000e-01  3.00000000e-01  1.79940011e+00 
 6.60000000e-01  6.60000000e-01  3.00000000e-01  1.79940111e+00 
 6.70000000e-01  6.70000000e-01  3.00000000e-01  1.79940184e+00 
 6.80000000e-01  6.80000000e-01  3.00000000e-01  1.79940238e+00 
 6.90000000e-01  6.90000000e-01  3.00000000e-01  1.79940277e+00 
 7.00000000e-01  7.00000000e-01  3.00000000e-01  1.79940306e+00 
 7.10000000e-01  7.10000000e-01  3.00000000e-01  1.79940326e+00 
 7.20000000e-01  7.20000000e-01  3.00000000e-01  1.79940342e+00 
 7.30000000e-01  7.30000000e-01  3.00000000e-01  1.79940353e+00 
 7.40000000e-01  7.40000000e-01  3.00000000e-01  1.79940361e+00 
 7.50000000e-01  7.50000000e-01  3.00000000e-01  1.79940367e+00 
 7.60000000e-01  7.60000000e-01  3.00000000e-01  1.79940371e+00 
 7.70000000e-01  7.70000000e-01  3.00000000e-01  1.79940374e+00 
 7.80000000e-01  7.80000000e-01  3.00000000e-01  1.79940377e+00 
 7.90000000e-01  7.90000000e-01  3.00000000e-01  1.79940378e+00 
 8.00000000e-01  8.00000000e-01  3.00000000e-01  1.79940379e+00 
 8.10000000e-01  8.10000000e-01  3.00000000e-01  1.79940380e+00 
 8.20000000e-01  8.20000000e-01  3.00000000e-01  1.79940381e+00 
 8.30000000e-01  8.30000000e-01  3.00000000e-01  1.79940382e+00 
 8.40000000e-01  8.40000000e-01  3.00000000e-01  1.79940382e+00 
 8.50000000e-01  8.50000000e-01  3.00000000e-01  1.79940382e+00 
 8.60000000e-01  8.60000000e-01  3.00000000e-01  1.79940382e+00 
 8.70000000e-01  8.70000000e-01  3.00000000e-01  1.79940382e+00 
 8.80000000e-01  8.80000000e-01  3.00000000e-01  1.79940383e+00 
 8.90000000e-01  8.90000000e-01  3.00000000e-01  1.79940383e+00 
 9.00000000e-01  9.00000000e-01  3.00000000e-01  1.79940383e+00 
 9.10000000e-01  9.10000000e-01  3.00000000e-01  1.79940383e+00 
 9.20000000e-01  9.20000000e-01  3.00000000e-01  1.79940383e+00 
 9.30000000e-01  9.30000000e-01  3.00000000e-01  1.79940383e+00 
 9.40000000e-01  9.40000000e-01  3.00000000e-01  1.79940383e+00 
 9.50000000e-01  9.50000000e-01  3.00000000e-01  1.79940383e+00 
 9.60000000e-01  9.60000000e-01  3.00000000e-01  1.79940382e+00 
 9.70000000e-01  9.70000000e-01  3.00000000e-01  1.79940382e+00 
 9.80000000e-01  9.80000000e-01  3.00000000e-01  1.79940383e+00 
 9.90000000e-01  9.90000000e-01  3.00000000e-01  1.79940383e+00 
 1.00000000e+00  1.00000000e+00  3.00000000e-01  1.79940383e+00 
 1.01000000e+00  1.01000000e+00  3.00000000e-01  1.79940383e+00 
 1.02000000e+00  1.02000000e+00  3.00000000e-01  1.79940383e+00 
 1.03000000e+00  1.03000000e+00  3.00000000e-01  1.79940383e+00 
 1.04000000e+00  1.04000000e+00  3.00000000e-01  1.79940383e+00 
 1.05000000e+00  1.05000000e+00  3.00000000e-01  1.79940383e+00 
 1.06000000e+00  1.06000000e+00  3.00000000e-01  1.79940383e+00 
 1.07000000e+00  1.07000000e+00  3.00000000e-01  1.79940383e+00 
 1.08000000e+00  1.08000000e+00  3.00000000e-01  1.79940383e+00 
 1.09000000e+00  1.09000000e+00  3.00000000e-01  1.79940383e+00 
 1.10000000e+00  1.10000000e+00  3.00000000e-01  1.79940383e+00 
 1.11000000e+00  1.11000000e+00  3.00000000e-01  1.79940383e+00 
 1.12000000e+00  1.12000000e+00  3.00000000e-01  1.79940383e+00 
 1.13000000e+00  1.13000000e+00  3.00000000e-01  1.79940383e+00 
 1.14000000e+00  1.14000000e+00  3.00000000e-01  1.79940383e+00 
 1.15000000e+00  1.15000000e+00  3.00000000e-01  1.79940383e+00 
 1.16000000e+00  1.16000000e+00  3.00000000e-01  1.79940383e+00 
 1.17000000e+00  1.17000000e+00  3.00000000e-01  1.79940383e+00 
 1.18000000e+00  1.18000000e+00  3.00000000e-01  1.79940383e+00 
 1.19000000e+00  1.19000000e+00  3.00000000e-01  1.79940383e+00 
 1.20000000e+00  1.20000000e+00  3.00000000e-01  1.79940383e+00 
 1.21000000e+00  1.21000000e+00  3.00000000e-01  1.79940383e+00 
 1.22000000e+00  1.22000000e+00  3.00000000e-01  1.79940383e+00 
 1.23000000e+00  1.23000000e+00  3.00000000e-01  1.79940382e+00 
 1.24000000e+00  1.24000000e+00  3.00000000e-01  1.79940383e+00 
 1.25000000e+00  1.25000000e+00  3.00000000e-01  1.79940383e+00 
 1.26000000e+00  1.26000000e+00  3.00000000e-01  1.79940383e+00 
 1.27000000e+00  1.27000000e+00  3.00000000e-01  1.79940383e+00 
 1.28000000e+00  1.28000000e+00  3.00000000e-01  1.79940383e+00 
 1.29000000e+00  1.29000000e+00  3.00000000e-01  1.79940383e+00 
 1.30000000e+00  1.30000000e+00  3.00000000e-01  1.79940382e+00 
 1.31000000e+00  1.31000000e+00  3.00000000e-01  1.79940383e+00 
 1.32000000e+00  1.32000000e+00  3.00000000e-01  1.79940383e+00 
 1.33000000e+00  1.33000000e+00  3.00000000e-01  1.79940383e+00 
 1.34000000e+00  1.34000000e+00  3.00000000e-01  1.79940383e+00 
 1.35000000e+00  1.35000000e+00  3.00000000e-01  1.79940383e+00 
